student_id,archetype_label,triangle_congruence,similarity,pythagorean_theorem,special_right_triangles,soh_cah_toa,unit_circle,circles,coordinate_geometry,area_and_volume,angle_relationships,weak_topic,reasoning,is_simulated
sim_0001,circles,0.657,0.832,0.924,0.681,0.562,0.355,0.433,0.601,0.656,0.677,circles,"This student has a solid foundation in triangle-based reasoning and the Pythagorean theorem but struggles significantly when topics shift to circular concepts and the unit circle, with trig showing a middling score that reflects partial understanding bleeding in from their stronger spatial skills.",1
sim_0002,circles,0.714,0.919,0.868,0.68,0.623,0.28,0.426,0.596,0.609,0.691,circles,"This student excels at triangle-based reasoning and proportional thinking but struggles significantly when topics shift to circular geometry and the unit circle, with trigonometric functions serving as a middle-ground weakness that bridges their strong and weak areas.",1
sim_0003,circles,0.66,0.909,0.881,0.73,0.62,0.264,0.396,0.599,0.564,0.722,circles,"This student has a strong foundation in triangle-based topics like similarity and the Pythagorean theorem, but struggles significantly with circles and the unit circle, with soh_cah_toa also dragging down as it bridges into the trig concepts they find confusing.",1
sim_0004,circles,0.648,0.864,0.89,0.673,0.542,0.335,0.436,0.599,0.613,0.673,circles,"This student has a strong foundation in triangle-based reasoning and the Pythagorean theorem but struggles significantly with circular concepts and the unit circle, with trig topics like soh_cah_toa showing a middle-ground weakness likely tied to the unit circle gap.",1
sim_0005,circles,0.69,0.845,0.878,0.736,0.595,0.352,0.437,0.591,0.602,0.652,circles,"This student has a strong grasp of triangle-based reasoning and the Pythagorean theorem but struggles significantly when topics shift to circles and the unit circle, with trig functions like soh_cah_toa also dragging down due to their connection to the unit circle weakness.",1
sim_0006,circles,0.719,0.842,0.903,0.741,0.629,0.355,0.467,0.62,0.563,0.739,circles,"This student has a strong geometric intuition for triangles and proportional reasoning but struggles significantly when topics shift to circular concepts and the unit circle, with soh_cah_toa showing a middling weakness likely tied to the unit circle gap.",1
sim_0007,circles,0.68,0.836,0.954,0.742,0.559,0.353,0.376,0.624,0.616,0.697,circles,"This student has a strong foundation in triangle-based reasoning and Pythagorean theorem but consistently struggles with circular concepts and the unit circle, with trig functions like soh_cah_toa also dragging down due to their connection to unit circle thinking.",1
sim_0008,circles,0.65,0.928,0.942,0.745,0.576,0.356,0.46,0.632,0.611,0.678,circles,"This student has a strong geometric intuition for triangles and proportional reasoning but struggles significantly when topics shift to circular concepts and the unit circle, with trig functions like soh_cah_toa showing early signs of the same weakness.",1
sim_0009,circles,0.607,0.881,0.945,0.763,0.615,0.266,0.433,0.668,0.631,0.711,circles,"This student has a strong geometric intuition for triangles and proportional reasoning but struggles significantly with circular concepts and the unit circle, with trig functions being a middle-ground weakness that hints at the transition from triangles to circles being their breaking point.",1
sim_0010,circles,0.641,0.917,0.867,0.733,0.586,0.373,0.456,0.635,0.578,0.709,circles,"This student excels at proof-based and ratio reasoning topics like similarity and the Pythagorean theorem, but struggles significantly when topics shift toward circular geometry and the unit circle, with trig functions like soh_cah_toa showing a middle-ground weakness likely tied to their unit circle confusion.",1
sim_0011,soh_cah_toa,0.689,0.873,0.633,0.292,0.398,0.322,0.532,0.672,0.578,0.841,soh_cah_toa,"This student has a strong conceptual grasp of geometric relationships and similarity but consistently struggles when problems require trigonometric ratios or memorized angle-side patterns in special triangles, with the weakness bleeding into unit circle performance as well.",1
sim_0012,soh_cah_toa,0.705,0.838,0.56,0.322,0.459,0.402,0.551,0.674,0.501,0.832,soh_cah_toa,"This student has a solid grasp of visual and relational geometry like similarity and angle relationships, but consistently struggles when problems require trigonometric ratios or memorized triangle patterns, with the weakness bleeding into unit circle as well.",1
sim_0013,soh_cah_toa,0.702,0.856,0.603,0.347,0.344,0.416,0.621,0.632,0.592,0.782,soh_cah_toa,"This student has a solid conceptual grasp of geometric relationships and proportional reasoning (similarity, angle relationships) but consistently struggles when problems require trigonometric ratios or memorized triangle patterns, with the weakness in soh_cah_toa spilling over into unit_circle and dragging down pythagorean_theorem applications in non-standard contexts.",1
sim_0014,soh_cah_toa,0.703,0.833,0.608,0.309,0.429,0.35,0.636,0.606,0.593,0.848,soh_cah_toa,"This student has a strong grasp of visual and relational geometry like similarity and angle relationships, but consistently struggles when trigonometric ratios and memorized triangle patterns are required, with the weakness spilling into unit circle as well.",1
sim_0015,soh_cah_toa,0.686,0.871,0.639,0.353,0.447,0.514,0.64,0.614,0.685,0.91,soh_cah_toa,"This student has a strong grasp of angle relationships and similarity but consistently struggles with trigonometric applications, particularly where special right triangle ratios and SOH-CAH-TOA are required, suggesting a gap in connecting ratio reasoning to right triangle contexts.",1
sim_0016,soh_cah_toa,0.629,0.877,0.674,0.339,0.434,0.389,0.561,0.623,0.518,0.781,soh_cah_toa,"This student has a strong conceptual grasp of angle relationships and similarity but consistently struggles when problems require trigonometric ratios or memorized triangle patterns, with the weakness spilling into unit circle topics as well.",1
sim_0017,soh_cah_toa,0.673,0.905,0.626,0.308,0.443,0.366,0.592,0.588,0.52,0.777,soh_cah_toa,"Student #17 has a solid grasp of visual and relational geometry like similarity and angle relationships, but consistently struggles when trigonometric ratios and special triangle memorization are required, with the weakness bleeding into the unit circle as well.",1
