id,topic,subtopic,grade_band,grade_level,difficulty,ca_standard,format,question,answer,common_errors,distractors,is_anchor
tri_angsum_ms_med_001,triangles,angle_sum,middle,8,medium,8.G.A.5,numeric_input,"A triangle has angles of 45° and 75°. What is the measure of the third angle in degrees?",60,"[""120"", ""30"", ""105""]","[]",1
tri_angsum_ms_eas_001,triangles,angle_sum,middle,7,easy,8.G.A.5,multiple_choice,"The angles of a triangle always add up to how many degrees?",180,"[""90"", ""360"", ""270""]","[""90"", ""180"", ""270"", ""360""]",1
tri_angsum_ms_har_001,triangles,exterior_angles,middle,8,hard,8.G.A.5,numeric_input,"An exterior angle of a triangle measures 110°. One of the non-adjacent interior angles is 60°. What is the other non-adjacent interior angle?",50,"[""70"", ""40"", ""160""]","[]",1
pyth_hyp_ms_eas_001,pythagorean_theorem,find_hypotenuse,middle,8,easy,8.G.B.7,numeric_input,"A right triangle has legs of length 3 and 4. What is the length of the hypotenuse?",5,"[""7"", ""6"", ""3.5""]","[]",1
pyth_hyp_ms_med_001,pythagorean_theorem,find_hypotenuse,middle,8,medium,8.G.B.7,numeric_input,"A right triangle has legs of length 5 and 12. What is the length of the hypotenuse?",13,"[""17"", ""11"", ""8.5""]","[]",1
pyth_leg_ms_har_001,pythagorean_theorem,find_leg,middle,8,hard,8.G.B.7,numeric_input,"The hypotenuse of a right triangle is 17 and one leg is 8. What is the length of the other leg?",15,"[""9"", ""12"", ""25""]","[]",1
sct_side_hs_eas_001,soh_cah_toa,find_side,high,9,easy,HSG.SRT.C.6,multiple_choice,"In a right triangle, which ratio defines sin(θ)?",opposite/hypotenuse,"[""adjacent/hypotenuse"", ""opposite/adjacent"", ""hypotenuse/opposite""]","[""opposite/hypotenuse"", ""adjacent/hypotenuse"", ""opposite/adjacent"", ""hypotenuse/opposite""]",1
sct_side_hs_med_001,soh_cah_toa,find_side,high,9,medium,HSG.SRT.C.6,numeric_input,"In a right triangle, the hypotenuse is 10 and one angle is 30°. What is the length of the side opposite the 30° angle? (sin 30° = 0.5)",5,"[""8.66"", ""2"", ""0.5""]","[]",1
uc_rad_hs_eas_001,unit_circle,radian_degree,high,10,easy,HSF.TF.A.2,multiple_choice,"How many radians are in 180 degrees?",π,"[""2π"", ""π/2"", ""π/4""]","[""π/4"", ""π/2"", ""π"", ""2π""]",1
uc_val_hs_med_001,unit_circle,trig_values,high,10,medium,HSF.TF.A.2,numeric_input,"What is the exact value of cos(60°)?",1/2,"[""√3/2"", ""√2/2"", ""0""]","[]",1
