id,topic,subtopic,grade_band,grade_level,difficulty,ca_standard,format,question,answer,common_errors,distractors,is_anchor
triang_ssssa_hs_eas_001,triangle_congruence,sss_sas_asa_aas,high,9,easy,HSG.CO.B.8,multiple_choice,Two triangles have three pairs of sides that are all equal in length. Which postulate proves the triangles are congruent?,SSS,"[""Students confuse SSS with SAS because both involve sides."", ""Students choose AAA, thinking three equal angles is enough for congruence.""]","[""SSS"", ""SAS"", ""ASA"", ""AAA""]",1
triang_identi_hs_eas_001,triangle_congruence,identifying_congruence,high,9,easy,HSG.CO.B.8,multiple_choice,"In the diagram, △ABC and △DEF share the following information: ∠A ≅ ∠D, AB ≅ DE, and ∠B ≅ ∠E. Which postulate proves △ABC ≅ △DEF?",ASA,"[""Students choose AAS because they mix up the order of angle-angle-side vs. angle-side-angle."", ""Students choose SAS because they see a side between two angles but misname it.""]","[""ASA"", ""AAS"", ""SAS"", ""SSS""]",1
triang_ssssa_hs_eas_002,triangle_congruence,sss_sas_asa_aas,high,9,easy,HSG.CO.B.8,multiple_choice,Which of the following combinations of congruent parts is NOT sufficient to prove two triangles are congruent?,AAA (three pairs of congruent angles),"[""Students think AAA proves congruence because it proves similarity."", ""Students eliminate AAS thinking it is not a valid theorem.""]","[""AAA (three pairs of congruent angles)"", ""SAS (two sides and the included angle)"", ""AAS (two angles and a non-included side)"", ""ASA (two angles and the included side)""]",1
triang_cpctc_hs_med_001,triangle_congruence,cpctc,high,9,medium,HSG.CO.B.8,multiple_choice,"Given that △PQR ≅ △XYZ, which of the following statements must be true by CPCTC?",∠Q ≅ ∠Y,"[""Students match vertices out of order, writing \u2220Q \u2245 \u2220X instead of \u2220Q \u2245 \u2220Y."", ""Students confuse CPCTC with the congruence postulate itself, applying it before congruence is established.""]","[""\u2220Q \u2245 \u2220Y"", ""\u2220P \u2245 \u2220Z"", ""QR \u2245 XY"", ""PQ \u2245 YZ""]",1
triang_identi_hs_med_001,triangle_congruence,identifying_congruence,high,9,medium,HSG.CO.B.8,multiple_choice,"In the figure, two triangles share a common side. You are told that two pairs of sides are congruent and the angle BETWEEN those sides is congruent. However, a student claims the triangles are congruent by SSS. What is the student's error?","The student used SSS, but the correct postulate is SAS because the angle is between the two congruent sides.","[""Students agree with SSS because they see three sides and overlook the role of the included angle."", ""Students think both SSS and SAS apply simultaneously.""]","[""The student used SSS, but the correct postulate is SAS because the angle is between the two congruent sides."", ""The student is correct; SSS and SAS can both be used here."", ""The student used SSS, but the correct postulate is ASA because a side is shared."", ""The student used SSS, but only AAS applies when a common side is present.""]",1
triang_ssssa_hs_med_001,triangle_congruence,sss_sas_asa_aas,high,9,medium,HSG.CO.B.8,numeric_input,"In △ABC and △DEF, you know AB = 5, BC = 7, ∠B = 48°, DE = 5, EF = 7, and ∠E = 48°. Using the SAS postulate, △ABC ≅ △DEF. If AC = 3x − 2 and DF = x + 6, what is the value of x?",4,"[""Students set up 3x \u2212 2 = x + 6 correctly but make an arithmetic error, getting x = 3."", ""Students forget to apply CPCTC and do not set the sides equal, leaving the equation unsolved.""]",[],1
triang_cpctc_hs_har_001,triangle_congruence,cpctc,high,9,hard,HSG.CO.B.8,multiple_choice,"In the figure, M is the midpoint of both AC and BD (the diagonals of quadrilateral ABCD that bisect each other). A student wants to prove AB ≅ CD. Arrange the correct logical steps:
1. △ABM ≅ △CDM
2. AM ≅ CM and BM ≅ DM (definition of midpoint)
3. ∠AMB ≅ ∠CMD (vertical angles)
4. AB ≅ CD by CPCTC
Which is the correct order of steps?",2 → 3 → 1 → 4,"[""Students place CPCTC before proving triangle congruence, choosing 4 \u2192 1 \u2192 2 \u2192 3."", ""Students skip the vertical angles step, thinking two pairs of sides alone give SAS.""]","[""2 \u2192 3 \u2192 1 \u2192 4"", ""1 \u2192 2 \u2192 3 \u2192 4"", ""3 \u2192 2 \u2192 4 \u2192 1"", ""2 \u2192 1 \u2192 3 \u2192 4""]",1
triang_ssssa_hs_har_001,triangle_congruence,sss_sas_asa_aas,high,9,hard,HSG.CO.B.8,numeric_input,"In △ABC and △DEF, ∠A = (4x + 10)°, ∠D = (6x − 8)°, ∠B = ∠E = 55°, and AB = DE. If these triangles are congruent by ASA, find the measure of ∠A in degrees.",82,"[""Students solve 4x + 10 = 6x \u2212 8 and get x = 9, then forget to substitute back, leaving the answer as 9."", ""Students set the angles equal to 55\u00b0 instead of to each other, getting an incorrect equation.""]",[],1
triang_identi_hs_har_001,triangle_congruence,identifying_congruence,high,9,hard,HSG.CO.B.8,multiple_choice,"In quadrilateral ABCD, diagonal AC is drawn. You know AB ≅ CD and BC ≅ DA. A student claims △ABC ≅ △CDA by SAS. Is the student correct, and why or why not?","No; the triangles should be proven congruent by SSS, since AC is a shared side giving three pairs of congruent sides, not SAS.","[""Students accept SAS without checking whether the congruent angle is actually included between the known congruent sides."", ""Students think any two sides and any angle can form SAS, ignoring the 'included' requirement.""]","[""No; the triangles should be proven congruent by SSS, since AC is a shared side giving three pairs of congruent sides, not SAS."", ""Yes; SAS is correct because two sides and the diagonal form the included angle."", ""No; there is not enough information to prove the triangles congruent at all."", ""Yes; SAS applies because AB \u2245 CD and BC \u2245 DA with \u2220ABC \u2245 \u2220CDA as the included angle.""]",1
simila_aasim_hs_eas_001,similarity,aa_similarity,high,9,easy,HSG.SRT.A.3,multiple_choice,Triangle ABC has angle A = 47° and angle B = 63°. Triangle DEF has angle D = 47° and angle E = 63°. Which statement best explains why the triangles are similar?,They are similar by AA similarity because two pairs of corresponding angles are equal.,"[""Students may say the triangles are congruent instead of similar."", ""Students may think all three angles must be stated to prove similarity.""]","[""They are similar by AA similarity because two pairs of corresponding angles are equal."", ""They are congruent by ASA because two angles and the included side are equal."", ""They are similar by SSS because all three sides must be proportional."", ""There is not enough information to determine if the triangles are similar.""]",1
simila_simila_hs_eas_001,similarity,similar_triangles,high,9,easy,HSG.SRT.A.3,multiple_choice,Which of the following is NOT a valid similarity theorem for triangles?,SSA similarity,"[""Students may confuse SSA with SAS similarity."", ""Students may incorrectly eliminate SSS as a valid similarity theorem.""]","[""SSA similarity"", ""AA similarity"", ""SAS similarity"", ""SSS similarity""]",1
simila_scale_hs_eas_001,similarity,scale_factor,high,9,easy,HSG.SRT.A.3,numeric_input,"Triangle PQR is similar to Triangle XYZ. The sides of Triangle PQR measure 6, 8, and 10. The shortest side of Triangle XYZ measures 3. What is the scale factor from Triangle PQR to Triangle XYZ?",0.5,"[""Students may write the scale factor as 2 (inverted ratio)."", ""Students may not identify the shortest side correctly and use the wrong pair.""]",[],1
simila_propor_hs_med_001,similarity,proportional_sides,high,9,medium,HSG.SRT.A.3,numeric_input,"Triangle ABC is similar to Triangle DEF. In Triangle ABC, AB = 9 and BC = 15. In Triangle DEF, DE = 6. What is the length of EF?",10,"[""Students may set up the proportion inverted and get 22.5."", ""Students may subtract the difference (9 - 6 = 3) and subtract from 15 to get 12.""]",[],1
simila_aasim_hs_med_001,similarity,aa_similarity,high,9,medium,HSG.SRT.A.3,multiple_choice,"In the figure, lines m and n are parallel. Transversals cut the parallel lines forming Triangle ABC and Triangle DEC, where C is the intersection point of the transversals. Which reason best explains why Triangle ABC ~ Triangle DEC?","AA similarity, because alternate interior angles are equal and vertical angles are equal.","[""Students may cite SAS instead of AA even when no side lengths are given."", ""Students may say the triangles are congruent because parallel lines create equal segments.""]","[""AA similarity, because alternate interior angles are equal and vertical angles are equal."", ""SAS similarity, because two sides and the included angle are proportional."", ""SSS similarity, because all three pairs of sides are proportional."", ""The triangles are congruent by AAS, not similar.""]",1
simila_scale_hs_med_001,similarity,scale_factor,high,9,medium,HSG.SRT.A.3,numeric_input,Triangle RST is similar to Triangle UVW with a scale factor of 3:5 from RST to UVW. The perimeter of Triangle RST is 36. What is the perimeter of Triangle UVW?,60,"[""Students may add 2 to 36 to get 38, treating the scale factor difference as an addend."", ""Students may multiply 36 by 3/5 instead of 5/3, getting 21.6.""]",[],1
simila_propor_hs_har_001,similarity,proportional_sides,high,9,hard,HSG.SRT.A.3,numeric_input,"Triangle ABC ~ Triangle DEF. The sides of Triangle ABC are AB = x + 2, BC = 12, and AC = 9. The corresponding sides of Triangle DEF are DE = 10, EF = 30, and DF = 22.5. Find the value of x.",2,"[""Students may set up the proportion using non-corresponding sides and get an incorrect value."", ""Students may find the scale factor correctly but make an arithmetic error solving x + 2 = 4, getting x = 6.""]",[],1
simila_aasim_hs_har_001,similarity,aa_similarity,high,9,hard,HSG.SRT.A.3,multiple_choice,"In Triangle ABC, point D lies on AB and point E lies on AC such that DE is parallel to BC. If AD = 4, DB = 6, and AE = 5, which of the following correctly uses AA similarity to find EC, and what is the value of EC?",Triangle ADE ~ Triangle ABC by AA similarity (corresponding angles formed by parallel lines); EC = 7.5,"[""Students may set up the proportion as AD/DB = AE/EC, mixing partial and whole sides."", ""Students may find DE instead of EC, or subtract AE from their answer.""]","[""Triangle ADE ~ Triangle ABC by AA similarity (corresponding angles formed by parallel lines); EC = 7.5"", ""Triangle ADE ~ Triangle ABC by SAS similarity; EC = 6"", ""Triangle ADE ~ Triangle DBC by AA similarity; EC = 4.5"", ""Triangle ADE ~ Triangle ABC by AA similarity; EC = 12.5""]",1
